file_path,model_name,chi2,alpha,teff,logg,fsed,met,plot_color,plot_ms,plot_alpha
/home/dylan/Research/Models/SonoraDiamondback/t900g31f8_m-0.5_co1.0.spec,t900g31f8_m-0.5_co1.0.spec,62677.514677250554,3.586448841880303e-21,900.0,3.5,8,-0.5,xkcd:royal blue,o,0.333
/home/dylan/Research/Models/SonoraDiamondback/t1200g3160f8_m-0.5_co1.0.spec,t1200g3160f8_m-0.5_co1.0.spec,54081.58574735133,1.2471985004593788e-21,1200.0,5.5,8,-0.5,xkcd:royal blue,v,0.333
/home/dylan/Research/Models/SonoraDiamondback/t1700g316f2_m+0.5_co1.0.spec,t1700g316f2_m+0.5_co1.0.spec,22782.697066586694,5.657701961927185e-22,1700.0,4.5,2,0.5,xkcd:bright lavender,d,1.0
/home/dylan/Research/Models/SonoraDiamondback/t1100g3160f4_m0.0_co1.0.spec,t1100g3160f4_m0.0_co1.0.spec,31542.001976075706,3.2205683415652176e-21,1100.0,5.5,4,0.0,xkcd:navy green,v,0.666
/home/dylan/Research/Models/SonoraDiamondback/t1500g316f1_m0.0_co1.0.spec,t1500g316f1_m0.0_co1.0.spec,11531.832976652047,1.1967108122827297e-21,1500.0,4.5,1,0.0,xkcd:cherry,d,0.666
/home/dylan/Research/Models/SonoraDiamondback/t2000g31nc_m+0.5_co1.0.spec,t2000g31nc_m+0.5_co1.0.spec,32047.54356917506,2.4568943427214134e-22,2000.0,3.5,nc,0.5,xkcd:faded orange,o,1.0
/home/dylan/Research/Models/SonoraDiamondback/t2300g31nc_m0.0_co1.0.spec,t2300g31nc_m0.0_co1.0.spec,38161.69484279145,1.285690889742894e-22,2300.0,3.5,nc,0.0,xkcd:faded orange,o,0.666
/home/dylan/Research/Models/SonoraDiamondback/t1900g1000nc_m-0.5_co1.0.spec,t1900g1000nc_m-0.5_co1.0.spec,44274.96903831438,2.3912378303878467e-22,1900.0,5.0,nc,-0.5,xkcd:faded orange,P,0.333
/home/dylan/Research/Models/SonoraDiamondback/t900g1000nc_m+0.5_co1.0.spec,t900g1000nc_m+0.5_co1.0.spec,62490.93407030552,3.0301346493009243e-21,900.0,5.0,nc,0.5,xkcd:faded orange,P,1.0
/home/dylan/Research/Models/SonoraDiamondback/t1500g31f2_m+0.5_co1.0.spec,t1500g31f2_m+0.5_co1.0.spec,13993.722399612929,1.123728772558639e-21,1500.0,3.5,2,0.5,xkcd:bright lavender,o,1.0
/home/dylan/Research/Models/SonoraDiamondback/t1900g1000nc_m+0.5_co1.0.spec,t1900g1000nc_m+0.5_co1.0.spec,30883.864751941514,2.9023547382020635e-22,1900.0,5.0,nc,0.5,xkcd:faded orange,P,1.0
/home/dylan/Research/Models/SonoraDiamondback/t1300g3160f1_m-0.5_co1.0.spec,t1300g3160f1_m-0.5_co1.0.spec,3886.5381059848078,2.904479554875365e-21,1300.0,5.5,1,-0.5,xkcd:cherry,v,0.333
/home/dylan/Research/Models/SonoraDiamondback/t2300g1000f4_m-0.5_co1.0.spec,t2300g1000f4_m-0.5_co1.0.spec,41844.50415405126,1.2073554370073412e-22,2300.0,5.0,4,-0.5,xkcd:navy green,P,0.333
/home/dylan/Research/Models/SonoraDiamondback/t1700g100nc_m-0.5_co1.0.spec,t1700g100nc_m-0.5_co1.0.spec,38929.5416439805,4.245490377150039e-22,1700.0,4.0,nc,-0.5,xkcd:faded orange,s,0.333
/home/dylan/Research/Models/SonoraDiamondback/t1300g316f2_m0.0_co1.0.spec,t1300g316f2_m0.0_co1.0.spec,5656.146239109655,2.4328784602572688e-21,1300.0,4.5,2,0.0,xkcd:bright lavender,d,0.666
/home/dylan/Research/Models/SonoraDiamondback/t1200g1000f3_m+0.5_co1.0.spec,t1200g1000f3_m+0.5_co1.0.spec,3421.0949635828624,3.97507357753312e-21,1200.0,5.0,3,0.5,xkcd:robin's egg,P,1.0
/home/dylan/Research/Models/SonoraDiamondback/t1900g3160nc_m-0.5_co1.0.spec,t1900g3160nc_m-0.5_co1.0.spec,47258.999564981255,2.2343382159002672e-22,1900.0,5.5,nc,-0.5,xkcd:faded orange,v,0.333
/home/dylan/Research/Models/SonoraDiamondback/t1700g1000f4_m+0.5_co1.0.spec,t1700g1000f4_m+0.5_co1.0.spec,23024.552548210522,5.521850276870298e-22,1700.0,5.0,4,0.5,xkcd:navy green,P,1.0
/home/dylan/Research/Models/SonoraDiamondback/t1200g1000f1_m-0.5_co1.0.spec,t1200g1000f1_m-0.5_co1.0.spec,3721.224236535061,4.057267788211055e-21,1200.0,5.0,1,-0.5,xkcd:cherry,P,0.333
/home/dylan/Research/Models/SonoraDiamondback/t1800g316f8_m0.0_co1.0.spec,t1800g316f8_m0.0_co1.0.spec,30338.98670244762,3.7586261773615e-22,1800.0,4.5,8,0.0,xkcd:royal blue,d,0.666
/home/dylan/Research/Models/SonoraDiamondback/t2100g316nc_m0.0_co1.0.spec,t2100g316nc_m0.0_co1.0.spec,35692.80333095375,1.837828251090984e-22,2100.0,4.5,nc,0.0,xkcd:faded orange,d,0.666
/home/dylan/Research/Models/SonoraDiamondback/t1100g100f2_m0.0_co1.0.spec,t1100g100f2_m0.0_co1.0.spec,22838.442780714548,4.013096537659547e-21,1100.0,4.0,2,0.0,xkcd:bright lavender,s,0.666
/home/dylan/Research/Models/SonoraDiamondback/t1400g31f2_m+0.5_co1.0.spec,t1400g31f2_m+0.5_co1.0.spec,7776.63416984456,1.6764014191831394e-21,1400.0,3.5,2,0.5,xkcd:bright lavender,o,1.0
/home/dylan/Research/Models/SonoraDiamondback/t2400g316f2_m+0.5_co1.0.spec,t2400g316f2_m+0.5_co1.0.spec,40482.248139880525,1.0455674977388571e-22,2400.0,4.5,2,0.5,xkcd:bright lavender,d,1.0
/home/dylan/Research/Models/SonoraDiamondback/t2200g316f8_m0.0_co1.0.spec,t2200g316f8_m0.0_co1.0.spec,37342.64792465157,1.5155161349387987e-22,2200.0,4.5,8,0.0,xkcd:royal blue,d,0.666
/home/dylan/Research/Models/SonoraDiamondback/t2000g100f1_m-0.5_co1.0.spec,t2000g100f1_m-0.5_co1.0.spec,36191.43723278279,2.339906350242693e-22,2000.0,4.0,1,-0.5,xkcd:cherry,s,0.333
/home/dylan/Research/Models/SonoraDiamondback/t1600g1000f1_m-0.5_co1.0.spec,t1600g1000f1_m-0.5_co1.0.spec,21470.320136283226,8.029100315979653e-22,1600.0,5.0,1,-0.5,xkcd:cherry,P,0.333
/home/dylan/Research/Models/SonoraDiamondback/t2200g3160f3_m+0.5_co1.0.spec,t2200g3160f3_m+0.5_co1.0.spec,35832.70213824671,1.5858272726415883e-22,2200.0,5.5,3,0.5,xkcd:robin's egg,v,1.0
/home/dylan/Research/Models/SonoraDiamondback/t1000g3160f8_m-0.5_co1.0.spec,t1000g3160f8_m-0.5_co1.0.spec,59111.69746413392,2.5224927150797433e-21,1000.0,5.5,8,-0.5,xkcd:royal blue,v,0.333
/home/dylan/Research/Models/SonoraDiamondback/t1600g31f1_m+0.5_co1.0.spec,t1600g31f1_m+0.5_co1.0.spec,19271.74341765336,7.933080224226011e-22,1600.0,3.5,1,0.5,xkcd:cherry,o,1.0
